femalestar,malestar,femalerasi,malerasi,motha porutham,target
poosam,pooram,kadagam,simmam,#REF!,0
poosam,uthiram 1 padham,kadagam,simmam,#REF!,0
poosam,uthiram 2 3 4 padham,kadagam,kanni,#REF!,0
poosam,astham,kadagam,kanni,#REF!,0
poosam,chithirai 1 2padham,kadagam,kanni,#REF!,0
poosam,chithirai 3 4 padham,kadagam,thualam,#REF!,0
poosam,swathi,kadagam,thualam,#REF!,1
poosam,visagam 1 2 3 padham,kadagam,thualam,#REF!,1
poosam,visagam 4 padham,kadagam,viruchagam,#REF!,1
poosam,anusam,kadagam,viruchagam,#REF!,0
poosam,kettai,kadagam,viruchagam,#REF!,1
poosam,moolam,kadagam,dhanush,#REF!,1
poosam,pooradam,kadagam,dhanush,#REF!,0
poosam,uthiradam 1 padham,kadagam,dhanush,#REF!,1
poosam,uthiradam 2 3 4 padham,kadagam,magaram,#REF!,1
poosam,thiruvonam,kadagam,magaram,#REF!,1
poosam,avitam 1 2 padham,kadagam,magaram,#REF!,1
poosam,avitam 3 4 padam,kadagam,kumbam,#REF!,1
poosam,sathayam,kadagam,kumbam,#REF!,1
poosam,pooratadhi 1 2 3 padham,kadagam,kumbam,#REF!,1
poosam,pooratadhi 4 padham,kadagam,meenam,#REF!,1
poosam,uthiraithadhi,kadagam,meenam,#REF!,0
poosam,revathi,kadagam,meenam,#REF!,1
ayilyam,aswini,kadagam,mesam,#REF!,0
ayilyam,bharani,kadagam,mesam,#REF!,0
ayilyam,karthigai 1 padham,kadagam,mesam,#REF!,1
ayilyam,karthigai 2 3 4 padham,kadagam,rishabam,#REF!,1
ayilyam,rohini,kadagam,rishabam,#REF!,0
ayilyam,mirugasirisham 1 2 padham,kadagam,rishabam,#REF!,1
ayilyam,mirugasirisham 3 4 padham,kadagam,mithunam,#REF!,1
ayilyam,thiruvadhirai,kadagam,mithunam,#REF!,0
ayilyam,poonarpusham 1 2 3 padham,kadagam,mithunam,#REF!,1
ayilyam,poonarpusham 4 padham,kadagam,kadagam,#REF!,1
ayilyam,poosam,kadagam,kadagam,#REF!,1
ayilyam,ayilyam,kadagam,kadagam,#REF!,0
ayilyam,magam,kadagam,simmam,#REF!,0
ayilyam,pooram,kadagam,simmam,#REF!,0
ayilyam,uthiram 1 padham,kadagam,simmam,#REF!,0
ayilyam,uthiram 2 3 4 padham,kadagam,kanni,#REF!,0
ayilyam,astham,kadagam,kanni,#REF!,0
ayilyam,chithirai 1 2padham,kadagam,kanni,#REF!,0
ayilyam,chithirai 3 4 padham,kadagam,thualam,#REF!,0
ayilyam,swathi,kadagam,thualam,#REF!,0
ayilyam,visagam 1 2 3 padham,kadagam,thualam,#REF!,1
ayilyam,visagam 4 padham,kadagam,viruchagam,#REF!,1
ayilyam,anusam,kadagam,viruchagam,#REF!,1
ayilyam,kettai,kadagam,viruchagam,#REF!,0
