femalestar,malestar,femalerasi,malerasi,thinam porutham,kanam porutham,magendhiram porutham,sthirthirgam porutham,yoni porutham,Rasi porutham,rasi adhipathi porutham,vasiyam porutham,raji porutham,vedhai porutham,motha_porutham,target,inputs
rohini,uthiradam 1 padham,rishabam,dhanush,1,1,0,1,1,0,1,0,1,1,7,1,12457910
rohini,uthiradam 2 3 4 padham,rishabam,magaram,1,1,0,1,1,0,1,0,1,1,7,1,12457910
rohini,thiruvonam,rishabam,magaram,0,0,0,0,0,0,0,0,0,0,0,0,b
rohini,avitam 1 2 padham,rishabam,magaram,1,1,0,1,1,1,1,0,1,1,8,1,124567910
rohini,avitam 3 4 padam,rishabam,kumbam,1,1,0,1,1,1,1,0,1,1,8,1,124567910
rohini,sathayam,rishabam,kumbam,0,0,0,0,0,0,0,0,0,0,0,0,b
rohini,pooratadhi 1 2 3 padham,rishabam,kumbam,1,1,1,1,1,1,1,0,1,1,9,1,1234567910
rohini,pooratadhi 4 padham,rishabam,meenam,1,1,0,1,1,1,1,0,1,1,8,1,124567910
rohini,uthiraithadhi,rishabam,meenam,0,1,0,1,1,1,1,0,1,1,7,1,24567910
rohini,revathi,rishabam,meenam,1,1,0,1,1,1,1,0,1,1,8,1,124567910
mirugasirisam 1 2 padham,aswini,rishabam,mesam,1,1,0,1,1,1,1,0,1,1,8,1,124567910
mirugasirisam 1 2 padham,bharani,rishabam,mesam,0,1,1,1,1,1,1,0,1,1,8,1,234567910
mirugasirisam 1 2 padham,karthigai 1 padham,rishabam,mesam,1,1,0,1,1,1,1,0,1,1,8,1,124567910
mirugasirisam 1 2 padham,karthigai 2 3 4 padham,rishabam,rishabam,1,1,0,1,1,1,1,0,1,1,8,1,124567910
mirugasirisam 1 2 padham,rohini,rishabam,rishabam,1,1,0,1,1,1,1,0,1,1,8,1,124567910
mirugasirisam 1 2 padham,mirugasirisham 1 2 padham,rishabam,rishabam,0,1,1,0,0,1,1,1,0,1,6,1,2367810
mirugasirisam 1 2 padham,mirugasirisham 3 4 padham,rishabam,mithunam,0,1,1,0,0,1,1,1,0,1,6,1,2367810
mirugasirisam 1 2 padham,thiruvadhirai,rishabam,mithunam,1,1,0,0,1,0,1,0,1,1,6,1,1257910
mirugasirisam 1 2 padham,poonarpusham 1 2 3 padham,rishabam,mithunam,0,1,0,0,1,0,1,0,1,1,5,0,257910
